Пакет,Уязвимость,Оперативное обновление
389-ds-base,CVE-2019-14824,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
389-ds-base,CVE-2020-35518,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
389-ds-base,CVE-2021-3514,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
389-ds-base,CVE-2021-3652,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
389-ds-base,CVE-2021-4091,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
389-ds-base,CVE-2022-0918,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
389-ds-base,CVE-2022-0996,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
389-ds-base,CVE-2022-1949,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
389-ds-base,CVE-2022-2850,БЮЛЛЕТЕНЬ №2023-0426SE17 (1.7.4)
amd64-microcode,CVE-2019-9836,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
amd64-microcode,CVE-2023-20569,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
amd64-microcode,CVE-2023-20593,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
ansible,CVE-2019-10156,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2019-10206,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2019-14846,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2019-14864,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2019-14904,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2020-10684,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2020-10685,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2020-10729,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
ansible,CVE-2020-14330,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
